USER_ID,PRODUCT_GROUP_ID,LAST_GIVEN_RATING,RATING_SCORE
IDXXX00001,GRPXXX10001,RED,1
IDXXX00002,GRPXXX10002,RED,1
IDXXX00003,GRPXXX10003,RED,1
IDXXX00004,GRPXXX10004,RED,1
IDXXX00005,GRPXXX10005,RED,1
IDXXX00006,GRPXXX10006,RED,1
IDXXX00007,GRPXXX10007,RED,1
IDXXX00008,GRPXXX10008,RED,1
IDXXX00009,GRPXXX10009,RED,1
IDXXX00010,GRPXXX10010,RED,1
IDXXX00011,GRPXXX10011,RED,1
IDXXX00012,GRPXXX10012,RED,1
IDXXX00013,GRPXXX10013,RED,1
IDXXX00014,GRPXXX10014,RED,1
IDXXX00015,GRPXXX10015,RED,1
IDXXX00016,GRPXXX10016,RED,1
IDXXX00017,GRPXXX10017,RED,1
IDXXX00018,GRPXXX10018,RED,1
IDXXX00019,GRPXXX10019,RED,1
IDXXX00020,GRPXXX10020,RED,1
IDXXX00021,GRPXXX10021,RED,1
IDXXX00022,GRPXXX10022,RED,1
IDXXX00023,GRPXXX10023,RED,1
IDXXX00024,GRPXXX10024,RED,1
IDXXX00025,GRPXXX10025,RED,1
IDXXX00026,GRPXXX10026,RED,1
IDXXX00027,GRPXXX10027,RED,1
IDXXX00028,GRPXXX10028,RED,1
IDXXX00029,GRPXXX10029,RED,1
IDXXX00030,GRPXXX10030,RED,1
IDXXX00031,GRPXXX10031,RED,1
IDXXX00032,GRPXXX10032,RED,1
IDXXX00033,GRPXXX10033,RED,1
IDXXX00034,GRPXXX10034,RED,1
IDXXX00035,GRPXXX10035,RED,1
IDXXX00036,GRPXXX10036,RED,1
IDXXX00037,GRPXXX10037,RED,1
IDXXX00038,GRPXXX10038,RED,1
IDXXX00039,GRPXXX10039,RED,1
IDXXX00040,GRPXXX10040,RED,1
IDXXX00041,GRPXXX10041,RED,1
IDXXX00042,GRPXXX10042,RED,1
IDXXX00043,GRPXXX10043,RED,1
IDXXX00044,GRPXXX10044,RED,1
IDXXX00045,GRPXXX10045,RED,1
IDXXX00046,GRPXXX10046,RED,1
IDXXX00047,GRPXXX10047,RED,1
IDXXX00048,GRPXXX10048,RED,1
IDXXX00049,GRPXXX10049,RED,1
IDXXX00050,GRPXXX10050,RED,1
IDXXX00051,GRPXXX10051,RED,1
IDXXX00052,GRPXXX10052,RED,1
IDXXX00053,GRPXXX10053,RED,1
IDXXX00054,GRPXXX10054,RED,1
IDXXX00055,GRPXXX10055,RED,1
IDXXX00056,GRPXXX10056,RED,1
IDXXX00057,GRPXXX10057,RED,1
IDXXX00058,GRPXXX10058,RED,1
IDXXX00059,GRPXXX10059,RED,1
IDXXX00060,GRPXXX10060,RED,1
IDXXX00061,GRPXXX10061,RED,1
IDXXX00062,GRPXXX10062,RED,1
IDXXX00063,GRPXXX10063,RED,1
IDXXX00064,GRPXXX10064,RED,1
IDXXX00065,GRPXXX10065,RED,1
IDXXX00066,GRPXXX10066,RED,1
IDXXX00067,GRPXXX10067,RED,1
IDXXX00068,GRPXXX10068,RED,1
IDXXX00069,GRPXXX10069,RED,1
IDXXX00070,GRPXXX10070,RED,1
IDXXX00071,GRPXXX10071,RED,1
IDXXX00072,GRPXXX10072,RED,1
IDXXX00073,GRPXXX10073,RED,1
IDXXX00074,GRPXXX10074,RED,1
IDXXX00075,GRPXXX10075,RED,1
IDXXX00076,GRPXXX10076,RED,1
IDXXX00077,GRPXXX10077,RED,1
IDXXX00078,GRPXXX10078,RED,1
IDXXX00079,GRPXXX10079,RED,1
IDXXX00080,GRPXXX10080,RED,1
IDXXX00081,GRPXXX10081,RED,1
IDXXX00082,GRPXXX10082,RED,1
IDXXX00083,GRPXXX10083,RED,1
IDXXX00084,GRPXXX10084,RED,1
IDXXX00085,GRPXXX10085,RED,1
IDXXX00086,GRPXXX10086,RED,1
IDXXX00087,GRPXXX10087,RED,1
IDXXX00088,GRPXXX10088,RED,1
IDXXX00089,GRPXXX10089,RED,1
IDXXX00090,GRPXXX10090,RED,1
IDXXX00091,GRPXXX10091,RED,1
IDXXX00092,GRPXXX10092,RED,1
IDXXX00093,GRPXXX10093,RED,1
IDXXX00094,GRPXXX10094,RED,1
IDXXX00095,GRPXXX10095,RED,1
